temp_open,Month
21.141,1
21.141,1
21.141,1
21.141,1
20.641,1
20.641,1
20.641,1
20.641,1
20.641,1
20.641,1
20.641,1
20.641,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
19.64,1
19.64,1
19.64,1
19.64,1
19.64,1
19.139,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.549,1
18.048,1
18.048,1
18.048,1
18.549,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.048,1
18.549,1
18.549,1
19.049,1
19.049,1
19.55,1
19.55,1
19.55,1
20.05,1
20.05,1
20.551,1
20.551,1
21.051,1
21.551,1
22.052,1
22.552,1
23.052,1
23.052,1
23.552,1
24.053,1
24.053,1
24.553,1
24.553,1
25.053,1
25.553,1
26.053,1
26.053,1
26.553,1
26.553,1
27.053,1
27.552,1
27.552,1
27.552,1
27.552,1
27.552,1
28.052,1
27.552,1
27.552,1
27.552,1
27.053,1
27.053,1
26.053,1
26.053,1
26.053,1
25.553,1
25.553,1
25.553,1
25.053,1
25.053,1
24.553,1
24.553,1
24.053,1
23.552,1
23.552,1
23.052,1
23.052,1
22.552,1
22.552,1
22.052,1
22.052,1
22.052,1
21.551,1
21.551,1
21.551,1
21.051,1
21.051,1
21.551,1
21.551,1
21.051,1
21.051,1
21.551,1
21.551,1
21.051,1
21.551,1
21.051,1
21.551,1
21.051,1
21.051,1
21.051,1
21.051,1
21.051,1
21.051,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.05,1
20.551,1
20.05,1
20.05,1
20.05,1
19.55,1
19.55,1
17.575,1
17.575,1
17.575,1
17.575,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
17.074,1
17.074,1
17.074,1
17.074,1
17.575,1
18.076,1
18.577,1
19.578,1
20.079,1
21.08,1
22.081,1
22.581,1
23.081,1
23.582,1
24.082,1
24.582,1
25.082,1
26.082,1
26.582,1
26.082,1
26.582,1
27.082,1
27.082,1
28.581,1
30.08,1
30.579,1
31.578,1
32.577,1
33.076,1
33.575,1
33.575,1
34.074,1
34.574,1
33.575,1
32.577,1
32.078,1
32.577,1
33.076,1
33.076,1
33.575,1
33.076,1
33.076,1
32.577,1
32.078,1
31.578,1
31.079,1
30.08,1
29.58,1
28.581,1
27.582,1
27.082,1
26.082,1
25.582,1
25.082,1
24.082,1
23.582,1
23.081,1
22.581,1
22.081,1
21.58,1
21.58,1
21.08,1
20.579,1
20.079,1
20.079,1
19.578,1
19.578,1
19.077,1
19.077,1
19.077,1
19.077,1
18.577,1
18.577,1
18.577,1
18.577,1
18.577,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
18.076,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
18.076,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.069,1
19.069,1
19.569,1
19.069,1
19.069,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
18.568,1
18.568,1
18.568,1
18.568,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.568,1
18.568,1
18.568,1
19.569,1
20.07,1
20.57,1
21.071,1
21.071,1
21.571,1
22.071,1
22.071,1
22.071,1
22.572,1
22.572,1
22.572,1
23.072,1
23.572,1
23.572,1
23.072,1
23.572,1
24.072,1
24.072,1
24.572,1
25.572,1
25.572,1
26.072,1
26.572,1
27.072,1
27.072,1
27.572,1
28.072,1
28.072,1
27.572,1
27.572,1
27.072,1
27.572,1
27.572,1
27.572,1
27.572,1
27.072,1
26.572,1
26.572,1
26.572,1
26.572,1
26.572,1
26.072,1
26.072,1
26.072,1
25.572,1
25.572,1
25.072,1
25.072,1
24.572,1
24.572,1
24.072,1
24.072,1
23.572,1
23.072,1
23.072,1
22.572,1
22.572,1
22.071,1
22.071,1
21.571,1
21.571,1
21.571,1
21.071,1
21.071,1
21.071,1
21.071,1
20.57,1
20.57,1
20.57,1
20.57,1
20.57,1
20.07,1
20.07,1
20.07,1
20.07,1
20.07,1
20.07,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.569,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.569,1
19.569,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
17.637,1
17.637,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.638,1
19.139,1
19.64,1
20.14,1
20.14,1
20.641,1
21.141,1
21.141,1
21.141,1
21.141,1
21.641,1
21.141,1
21.641,1
21.641,1
22.142,1
22.142,1
22.142,1
22.142,1
22.142,1
22.642,1
23.142,1
23.142,1
23.642,1
24.143,1
24.143,1
24.643,1
24.643,1
24.643,1
25.143,1
25.143,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.643,1
24.143,1
24.143,1
24.143,1
24.143,1
24.143,1
23.642,1
23.642,1
23.142,1
23.142,1
23.142,1
22.642,1
22.642,1
22.142,1
22.142,1
21.641,1
21.641,1
21.141,1
21.141,1
21.141,1
20.641,1
20.641,1
20.641,1
20.641,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
19.64,1
19.64,1
19.64,1
19.64,1
19.64,1
19.64,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
18.638,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
18.638,1
18.638,1
19.139,1
19.139,1
19.139,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.049,1
19.049,1
19.55,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.048,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
19.049,1
19.049,1
19.049,1
19.55,1
19.55,1
20.05,1
20.551,1
20.551,1
21.051,1
21.051,1
21.051,1
21.551,1
21.551,1
21.551,1
22.552,1
22.552,1
22.052,1
22.552,1
23.052,1
22.552,1
24.053,1
24.553,1
24.553,1
25.053,1
25.553,1
26.053,1
26.053,1
26.553,1
27.053,1
27.053,1
25.553,1
25.053,1
25.553,1
26.553,1
27.053,1
27.053,1
27.053,1
27.053,1
27.053,1
27.053,1
26.053,1
26.053,1
26.053,1
25.553,1
25.553,1
25.053,1
25.053,1
24.553,1
24.553,1
24.053,1
24.053,1
23.552,1
23.052,1
23.052,1
22.552,1
22.552,1
22.052,1
22.052,1
22.052,1
21.551,1
21.551,1
21.551,1
21.551,1
21.051,1
21.051,1
21.051,1
21.051,1
21.051,1
21.051,1
21.051,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
18.076,1
18.076,1
18.577,1
18.577,1
18.577,1
18.577,1
18.577,1
18.076,1
18.076,1
18.076,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
16.573,1
17.074,1
17.074,1
16.573,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.575,1
17.575,1
18.076,1
18.577,1
19.077,1
20.079,1
20.579,1
21.58,1
22.581,1
23.582,1
24.582,1
25.582,1
26.582,1
27.082,1
28.081,1
28.581,1
29.58,1
30.08,1
30.579,1
31.079,1
31.578,1
32.078,1
32.577,1
33.076,1
33.076,1
33.575,1
34.074,1
34.574,1
34.574,1
34.574,1
35.073,1
35.073,1
35.073,1
35.073,1
35.073,1
34.574,1
34.574,1
34.074,1
33.575,1
33.076,1
32.577,1
32.078,1
31.578,1
30.579,1
30.08,1
29.081,1
28.581,1
27.582,1
27.082,1
26.582,1
26.082,1
25.082,1
24.582,1
24.582,1
24.082,1
23.582,1
23.081,1
22.581,1
22.081,1
22.081,1
21.58,1
21.08,1
21.08,1
20.579,1
20.579,1
20.079,1
20.079,1
19.578,1
19.578,1
19.578,1
19.077,1
19.077,1
19.077,1
19.077,1
18.577,1
18.577,1
18.577,1
18.577,1
18.076,1
18.076,1
18.076,1
18.076,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.068,1
18.568,1
18.068,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
19.069,1
19.569,1
20.07,1
20.07,1
20.57,1
21.071,1
21.571,1
21.571,1
22.071,1
22.572,1
22.572,1
23.072,1
23.572,1
24.072,1
24.072,1
24.572,1
25.072,1
25.072,1
25.572,1
25.572,1
26.072,1
26.572,1
26.572,1
27.072,1
27.072,1
27.572,1
27.572,1
28.072,1
28.572,1
28.572,1
28.572,1
29.071,1
29.571,1
29.571,1
29.571,1
29.571,1
29.571,1
29.071,1
28.572,1
28.572,1
28.072,1
28.072,1
27.572,1
27.572,1
27.572,1
27.072,1
27.072,1
26.572,1
26.572,1
26.072,1
26.072,1
25.572,1
25.072,1
25.072,1
24.572,1
24.572,1
24.072,1
23.572,1
23.572,1
23.072,1
23.072,1
22.572,1
22.572,1
22.071,1
22.071,1
22.071,1
21.571,1
21.571,1
21.571,1
21.071,1
21.071,1
21.071,1
21.071,1
20.57,1
20.57,1
20.57,1
20.57,1
20.07,1
20.07,1
20.07,1
20.07,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
18.568,1
18.568,1
19.069,1
19.069,1
19.069,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
17.637,1
17.637,1
17.637,1
17.637,1
17.637,1
17.637,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.638,1
19.139,1
19.139,1
19.64,1
20.14,1
20.641,1
21.141,1
21.141,1
21.641,1
21.641,1
21.641,1
22.142,1
22.142,1
22.642,1
22.642,1
23.142,1
23.142,1
23.642,1
23.642,1
24.143,1
24.143,1
24.643,1
24.643,1
24.643,1
25.143,1
25.143,1
25.143,1
25.143,1
25.643,1
25.643,1
25.643,1
26.142,1
26.142,1
26.142,1
26.642,1
26.142,1
26.142,1
26.142,1
26.142,1
26.142,1
26.142,1
25.643,1
25.643,1
25.643,1
25.643,1
25.143,1
25.143,1
25.143,1
24.643,1
24.643,1
24.143,1
24.143,1
23.642,1
23.642,1
23.142,1
23.142,1
22.642,1
22.642,1
22.142,1
22.142,1
21.641,1
21.641,1
21.641,1
21.141,1
21.141,1
21.141,1
20.641,1
20.641,1
20.641,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
20.14,1
19.64,1
19.64,1
19.64,1
19.64,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
18.549,1
19.049,1
19.049,1
19.049,1
19.55,1
19.55,1
19.55,1
20.05,1
20.05,1
20.551,1
21.051,1
21.051,1
21.551,1
22.052,1
22.052,1
22.552,1
23.052,1
23.552,1
23.552,1
24.053,1
24.053,1
24.553,1
25.053,1
25.053,1
25.053,1
25.553,1
26.053,1
26.053,1
26.553,1
26.553,1
27.053,1
27.053,1
28.052,1
28.052,1
28.052,1
28.552,1
28.552,1
28.552,1
28.552,1
28.552,1
28.052,1
27.552,1
27.552,1
27.552,1
27.053,1
26.553,1
26.053,1
26.053,1
25.553,1
25.053,1
25.053,1
24.553,1
24.053,1
24.053,1
23.552,1
23.552,1
23.052,1
23.052,1
22.552,1
22.552,1
22.552,1
22.052,1
22.052,1
22.052,1
22.052,1
21.551,1
21.551,1
21.551,1
21.551,1
21.551,1
21.051,1
21.051,1
21.051,1
21.051,1
21.051,1
20.551,1
20.551,1
20.551,1
20.551,1
20.551,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
20.05,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.575,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.074,1
17.575,1
17.575,1
18.076,1
18.577,1
18.577,1
19.077,1
19.069,1
19.569,1
19.069,1
19.069,1
19.069,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
19.069,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
18.568,1
19.069,1
19.069,1
19.569,1
19.569,1
20.07,1
20.07,1
20.57,1
20.57,1
21.071,1
21.071,1
21.571,1
21.571,1
22.071,1
22.572,1
23.072,1
23.072,1
23.572,1
24.072,1
24.072,1
24.572,1
25.072,1
25.072,1
25.572,1
25.572,1
26.072,1
26.072,1
26.572,1
26.572,1
27.072,1
27.072,1
27.572,1
28.072,1
28.072,1
28.072,1
28.572,1
28.572,1
28.572,1
29.071,1
28.572,1
28.572,1
28.572,1
28.072,1
28.072,1
27.572,1
27.572,1
27.572,1
27.572,1
27.072,1
27.072,1
27.072,1
26.572,1
26.572,1
26.572,1
26.072,1
26.072,1
25.572,1
25.572,1
25.572,1
25.072,1
24.572,1
24.572,1
24.072,1
24.072,1
23.572,1
23.572,1
23.072,1
23.072,1
23.072,1
22.572,1
23.572,1
23.572,1
23.572,1
23.572,1
23.572,1
23.572,1
23.572,1
23.572,1
23.572,1
23.572,1
23.072,1
23.072,1
23.072,1
23.072,1
23.072,1
22.572,1
22.572,1
22.572,1
22.572,1
22.572,1
22.572,1
22.071,1
22.071,1
22.071,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
19.139,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.138,1
18.638,1
18.638,1
18.638,1
18.638,1
18.638,1
19.139,1
19.139,1
19.139,1
19.64,1
20.14,1
20.641,1
20.641,1
21.141,1
21.641,1
22.142,1
22.642,1
22.642,1
23.142,1
23.142,1
23.642,1
23.642,1
24.143,1
24.143,1
24.643,1
24.643,1
24.643,1
25.143,1
25.143,1
25.643,1
25.643,1
26.142,1
26.142,1
26.142,1
26.642,1
26.642,1
26.642,1
26.642,1
26.642,1
26.642,1
26.642,1
26.642,1
26.642,1
26.642,1
26.642,1
26.142,1
26.142,1
26.142,1
26.142,1
25.643,1
25.643,1
25.643,1
25.143,1
25.143,1
25.143,1
24.643,1
24.643,1
24.143,1
24.143,1
24.143,1
23.642,1
23.642,1
23.142,1
23.142,1
22.642,1
22.642,1
22.642,1
22.142,1
22.142,1
22.142,1
22.642,1
22.642,1
22.642,1
22.642,1
22.642,1
22.642,1
22.642,1
22.642,1
22.642,1
22.642,1
22.142,1
22.142,1
22.142,1
22.142,1
22.142,1
22.142,1
22.142,1
22.142,1
21.641,1
21.641,1
21.641,1
21.641,1
21.141,1
21.141,1
21.141,1
21.141,1
21.141,1
21.141,1
21.141,1
21.141,1
21.141,1
21.141,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
19.049,1
19.049,1
19.55,1
19.55,1
19.55,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.049,1
19.55,1
19.55,1
19.55,1
19.55,1
19.55,1
20.05,1
20.05,1
20.05,1
20.551,1
20.551,1
21.051,1
21.051,1
22.052,1
22.552,1
22.552,1
23.052,1
23.052,1
23.552,1
24.053,1
24.053,1
24.553,1
24.553,1
25.053,1
25.553,1
25.553,1
26.053,1
26.553,1
26.553,1
27.053,1
27.053,1
27.552,1
27.552,1
28.052,1
28.052,1
28.052,1
28.052,1
28.052,1
28.052,1
28.052,1
28.052,1
27.552,1
27.552,1
27.053,1
27.053,1
26.553,1
26.053,1
26.053,1
26.053,1
25.553,1
25.553,1
25.053,1
25.053,1
24.553,1
24.553,1
24.053,1
24.053,1
23.552,1
23.552,1
23.052,1
23.052,1
23.052,1
22.552,1
22.552,1
22.552,1
22.552,1
22.552,1
22.552,1
23.052,1
23.052,1
23.552,1
23.552,1
23.052,1
23.052,1
23.052,1
23.052,1
23.052,1
23.052,1
22.552,1
22.552,1
22.552,1
22.552,1
22.552,1
22.552,1
22.552,1
22.552,1
22.552,1
22.052,1
22.052,1
22.052,1
21.551,1
21.551,1
21.551,1
21.551,1
21.551,1
21.551,1
21.551,1
21.551,1
21.551,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.571,1
21.071,1
21.071,1
21.071,1
21.071,1
21.071,1
21.071,1
21.071,1
21.071,1
21.071,1
21.071,1
20.57,1
20.57,1
20.57,1
20.57,1
20.57,1
20.57,1
20.57,1
20.57,1
20.57,1
20.07,1
20.07,1
20.07,1
20.07,1
20.07,1
20.07,1
20.07,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
19.569,1
20.07,1
20.57,1
21.071,1
21.071,1
21.571,1
22.071,1
22.572,1
22.572,1
23.072,1
23.572,1
24.072,1
24.072,1
24.572,1
24.572,1
25.072,1
25.072,1
25.572,1
25.572,1
26.072,1
26.572,1
26.572,1
27.072,1
27.072,1
27.572,1
27.572,1
28.072,1
28.572,1
28.572,1
28.572,1
29.071,1
29.071,1
29.071,1
29.071,1
29.571,1
29.571,1
29.571,1
29.571,1
29.071,1
29.071,1
28.572,1
28.572,1
28.572,1
28.572,1
28.072,1
28.072,1
28.072,1
28.072,1
27.572,1
27.072,1
27.072,1
26.572,1
26.572,1
26.072,1
26.072,1
25.572,1
25.072,1
25.072,1
24.572,1
24.572,1
24.072,1
24.072,1
23.572,1
23.572,1
23.072,1
23.072,1
23.072,1
22.572,1
22.572,1
22.572,1
22.572,1
22.071,1
22.071,1
22.071,1
22.071,1
22.071,1
21.571,1
21.571,1
21.071,1
